AccountID,CustomerID,AccountTypeID,AccountStatusID,Balance,OpeningDate,Balance_INR,TxnFrequency_90d,AvgTxnAmount_INR
200094,10123,3,1,48348.54,2018-06-12 00:00:00.000,4061277.36,0,221723.7
201108,10077,3,1,35001.41,2019-10-30 00:00:00.000,2940118.44,0,253834.84
201453,10321,3,2,57081.03,2020-05-24 00:00:00.000,4794806.52,0,238552.7
200581,10871,5,1,63164.33,2021-01-27 00:00:00.000,5305803.72,0,192712.94
200003,10765,1,1,58739.64,2018-09-12 00:00:00.000,4934129.76,0,193344.85
201097,10903,1,1,45430.05,2021-07-18 00:00:00.000,3816124.2,0,210373.17
201343,10681,5,1,15435.59,2018-07-24 00:00:00.000,1296589.56,0,147276.91
201250,11038,5,1,52166.08,2018-07-10 00:00:00.000,4381950.72,0,195556.71
201001,10655,4,2,14569.86,2021-07-09 00:00:00.000,1223868.24,0,198349.5
200342,10672,4,1,76080.75,2019-06-04 00:00:00.000,6390783.0,0,207805.18
200892,10352,2,1,81466.67,2021-05-25 00:00:00.000,6843200.28,0,247433.94
200919,10981,4,1,7162.42,2019-08-24 00:00:00.000,601643.28,0,239113.22
200883,10262,5,1,96755.41,2018-01-15 00:00:00.000,8127454.44,0,226362.33
200478,10207,2,1,97341.47,2019-05-20 00:00:00.000,8176683.48,0,217102.06
201012,10509,1,3,85030.52,2020-08-26 00:00:00.000,7142563.68,0,187528.04
200910,10582,3,3,63487.32,2018-01-21 00:00:00.000,5332934.88,0,229594.28
201488,10796,4,1,30363.58,2021-02-08 00:00:00.000,2550540.72,0,208036.08
200828,10792,3,1,42829.95,2020-05-05 00:00:00.000,3597715.8,0,196980.97
200757,10535,3,1,75543.44,2018-11-10 00:00:00.000,6345648.96,0,186123.8
201331,11051,1,1,15923.19,2020-11-24 00:00:00.000,1337547.96,0,236323.35
200761,10583,5,1,66945.73,2020-02-14 00:00:00.000,5623441.32,0,204744.6
200611,10777,3,1,52143.22,2019-02-26 00:00:00.000,4380030.48,0,203920.02
200164,10556,1,1,64746.74,2020-07-09 00:00:00.000,5438726.16,0,204021.75
201595,11083,1,1,21641.13,2020-10-25 00:00:00.000,1817854.92,0,195098.81
201025,10181,1,1,21398.11,2018-04-03 00:00:00.000,1797441.24,0,211780.52
201302,10877,5,1,13689.45,2021-02-04 00:00:00.000,1149913.8,0,224710.56
200806,10133,3,1,44471.11,2021-08-11 00:00:00.000,3735573.24,0,195223.62
200975,10997,2,2,58687.34,2018-09-08 00:00:00.000,4929736.56,0,213810.65
200473,10562,5,1,10594.45,2020-02-23 00:00:00.000,889933.8,0,190158.51
200949,10327,2,2,5215.19,2019-10-09 00:00:00.000,438075.96,0,190599.93
200241,10770,2,1,22583.96,2020-01-03 00:00:00.000,1897052.64,0,185527.47
200816,10298,2,1,17693.91,2018-08-28 00:00:00.000,1486288.44,0,240450.69
200262,10850,4,1,70727.24,2019-09-05 00:00:00.000,5941088.16,0,253461.24
200730,10738,1,1,47523.73,2018-05-28 00:00:00.000,3991993.32,1,211792.63
200855,10812,4,1,24602.31,2019-03-01 00:00:00.000,2066594.04,0,200427.17
200985,10828,1,1,11914.04,2019-07-27 00:00:00.000,1000779.36,0,165796.55
200960,10739,2,1,52107.05,2021-12-30 00:00:00.000,4376992.2,1,179355.56
201479,10519,5,1,43902.35,2020-10-01 00:00:00.000,3687797.4,0,213960.82
200350,10419,4,1,76198.19,2019-05-02 00:00:00.000,6400647.96,0,177009.87
201495,10428,2,1,28566.86,2020-03-04 00:00:00.000,2399616.24,0,219405.34
201248,10923,2,1,13715.4,2021-05-17 00:00:00.000,1152093.6,0,223504.04
201054,10692,5,2,17254.85,2018-12-30 00:00:00.000,1449407.4,0,187272.83
200588,10296,5,1,48270.26,2020-07-02 00:00:00.000,4054701.84,0,182314.5
200124,10661,2,3,46628.24,2021-11-29 00:00:00.000,3916772.16,0,238780.2
201130,10331,4,1,72455.96,2020-02-02 00:00:00.000,6086300.64,0,261196.75
200634,10324,3,1,72073.9,2021-03-25 00:00:00.000,6054207.6,0,233047.31
200595,10991,1,2,38432.58,2021-11-11 00:00:00.000,3228336.72,0,219552.24
200798,10224,5,3,8837.62,2020-02-09 00:00:00.000,742360.08,0,201784.8
200901,10936,4,1,22947.15,2018-11-04 00:00:00.000,1927560.6,0,193599.06
200088,10024,3,1,26174.79,2019-01-30 00:00:00.000,2198682.36,0,218269.39
